"id","vessel_code","form_fm","form_date","no_form1a","no_pkk","bentuk_3a","start_date","end_date","createdAt","updatedAt","correction","split_to","no_invoice"
119,MK99X,FM/01/01/01/74,2022-09-18 18:58:14.000,"202213000036",MK9913000002,"070.202209131002-FS",2022-09-12 09:00:00.000,2022-09-14 23:00:00.000,2022-09-18 18:58:14.179 +0700,2022-09-18 18:58:14.179 +0700,N,,
183,MDQ9X,FM/01/01/01/74,2022-09-29 20:00:56.000,"202213000016",MDQ913000001,"070.202202001032-FS",2022-09-10 15:00:00.000,2022-09-14 09:00:00.000,2022-09-29 20:00:56.034 +0700,2022-09-29 20:00:56.034 +0700,N,,
196,DKI1,FM/01/01/01/74,2022-09-30 08:52:58.000,"202213000001",DKI113000002,"070.202202001043-FS",2022-09-06 14:00:00.000,2022-09-06 18:00:00.000,2022-09-30 08:52:58.289 +0700,2022-09-30 08:52:58.289 +0700,N,,
211,AJ43X,FM/01/01/01/74,2022-10-02 01:44:04.000,"202213000011",AJ4313000001,"070.202202001051-FS",2022-09-07 15:00:00.000,2022-09-09 23:00:00.000,2022-10-02 01:44:04.905 +0700,2022-10-02 01:44:04.905 +0700,N,,
213,SKI3X,FM/01/01/01/74,2022-10-02 01:44:14.000,"202213000128",SKI313000006,"070.202202001053-FS",2022-09-26 11:00:00.000,2022-09-26 23:00:00.000,2022-10-02 01:44:14.962 +0700,2022-10-02 01:44:14.962 +0700,N,,
214,MA44,FM/01/01/01/74,2022-10-02 01:44:40.000,"202213000121",MA4413000001,"070.202202001054-FS",2022-09-24 23:00:00.000,2022-09-26 09:24:00.000,2022-10-02 01:44:40.303 +0700,2022-10-02 01:44:40.303 +0700,N,,
215,DKV1X,FM/01/01/01/74,2022-10-02 01:44:44.000,"202213000107",DKV113000006,"070.202202001055-FS",2022-09-25 09:00:00.000,2022-09-25 11:00:00.000,2022-10-02 01:44:44.420 +0700,2022-10-02 01:44:44.420 +0700,N,,
259,KI88X,FM/01/01/01/74,2022-10-04 21:29:17.000,"202213000002",KI8813000001,"070.202202001063-FS",2022-09-07 23:00:00.000,2022-09-08 14:00:00.000,2022-10-04 21:29:17.108 +0700,2022-10-04 21:29:17.108 +0700,N,,"070.12204.22.00001315R3"
262,MM77X,FM/01/01/01/74,2022-10-04 21:29:28.000,"202213000017",MM7713000001,"070.202202001066-FS",2022-09-10 10:00:00.000,2022-09-13 08:00:00.000,2022-10-04 21:29:28.707 +0700,2022-10-04 21:29:28.707 +0700,N,,
263,MK22X,FM/01/01/01/74,2022-10-04 21:29:32.000,"202213000026",MK2213000001,"070.202202001067-FS",2022-09-11 09:30:00.000,2022-09-13 10:00:00.000,2022-10-04 21:29:32.139 +0700,2022-10-04 21:29:32.139 +0700,N,,
269,SKI3X,FM/01/01/01/74,2022-10-05 07:45:15.000,"202213000003",SKI313000001,"070.202202001073-FS",2022-09-06 08:00:00.000,2022-09-06 12:00:00.000,2022-10-05 07:45:15.653 +0700,2022-10-05 07:45:15.653 +0700,N,,"070.12204.22.00001002R3"
293,MCT1,FM/01/01/01/74,2022-10-05 14:29:38.000,"202213000040",MCT113000001,"070.202202001081-FS",2022-09-13 10:00:00.000,2022-09-15 09:00:00.000,2022-10-05 14:29:38.699 +0700,2022-10-05 14:29:38.699 +0700,N,,
295,DKV1X,FM/01/01/01/74,2022-10-05 15:32:35.000,"202213000012",DKV113000002,"070.202202001082-FS",2022-09-10 06:00:00.000,2022-09-10 11:00:00.000,2022-10-05 15:32:35.218 +0700,2022-10-05 15:32:35.218 +0700,N,,"070.12204.22.00001335R3"
298,MDY5X,FM/01/01/01/74,2022-10-05 15:34:13.000,"202213000042",MDY513000001,"070.202202001085-FS",2022-09-13 20:41:00.000,2022-09-17 21:43:00.000,2022-10-05 15:34:13.887 +0700,2022-10-05 15:34:13.887 +0700,N,,
300,MK11X,FM/01/01/01/74,2022-10-05 16:28:35.000,"202213000033",MK1113000001,"070.202202001087-FS",2022-09-11 12:00:00.000,2022-09-15 08:00:00.000,2022-10-05 16:28:35.124 +0700,2022-10-05 16:28:35.124 +0700,N,,
301,MK33X,FM/01/01/01/74,2022-10-05 16:53:02.000,"202213000141",MK3313000003,"070.202202001088-FS",2022-09-29 10:42:00.000,2022-10-05 10:42:00.000,2022-10-05 16:53:02.539 +0700,2022-10-05 16:53:02.539 +0700,N,,
306,DKI1,FM/01/01/01/74,2022-10-05 17:42:33.000,"202213000038",DKI113000005,"070.202202001093-FS",2022-09-14 13:00:00.000,2022-09-14 19:00:00.000,2022-10-05 17:42:33.317 +0700,2022-10-05 17:42:33.317 +0700,N,,
314,SKI3X,FM/01/01/01/74,2022-10-05 21:52:51.000,"202213000045",SKI313000003,"070.202202001101-FS",2022-09-15 06:46:00.000,2022-09-15 23:46:00.000,2022-10-05 21:52:51.743 +0700,2022-10-05 21:52:51.743 +0700,N,,
315,DFV0X,FM/01/01/01/74,2022-10-05 22:02:34.000,"202213000127",DFV013000005,"070.202202001102-FS",2022-09-26 10:00:00.000,2022-09-26 23:00:00.000,2022-10-05 22:02:34.302 +0700,2022-10-05 22:02:34.302 +0700,N,,
316,T007X,FM/01/01/01/74,2022-10-05 22:03:20.000,"202213000043",T00713000001,"070.202202001103-FS",2022-09-15 23:00:00.000,2022-09-30 23:30:00.000,2022-10-05 22:03:20.911 +0700,2022-10-05 22:03:20.911 +0700,N,,
317,MDK7X,FM/01/01/01/74,2022-10-05 22:09:01.000,"202213000047",MDK713000001,"070.202202001104-FS",2022-09-15 10:39:00.000,2022-09-17 10:39:00.000,2022-10-05 22:09:01.585 +0700,2022-10-05 22:09:01.585 +0700,N,,
318,MDW5,FM/01/01/01/74,2022-10-05 22:17:20.000,"202213000048",MDW513000001,"070.202202001105-FS",2022-09-13 10:55:00.000,2022-09-17 09:54:00.000,2022-10-05 22:17:20.803 +0700,2022-10-05 22:17:20.803 +0700,N,,
345,DKI1,FM/01/01/01/74,2022-10-07 10:56:11.000,"202213000009",DKI113000003,"070.202202001106-FS",2022-09-09 06:00:00.000,2022-09-09 11:00:00.000,2022-10-07 10:56:11.855 +0700,2022-10-07 10:56:11.855 +0700,N,,"070.12204.22.00001317R3"
346,ME99X,FM/01/01/01/74,2022-10-07 10:58:25.000,"202213000151",ME9913000004,"070.202202001107-FS",2022-09-29 10:35:00.000,2022-10-05 10:35:00.000,2022-10-07 10:58:25.376 +0700,2022-10-07 10:58:25.376 +0700,N,,
347,MK99X,FM/01/01/01/74,2022-10-07 10:59:22.000,"202213000005",MK9913000001,"070.202202001108-FS",2022-09-05 08:00:00.000,2022-09-09 09:00:00.000,2022-10-07 10:59:22.919 +0700,2022-10-07 10:59:22.919 +0700,N,,"070.12204.22.00001001R3"
370,CM16,FM/01/01/01/74,2022-10-12 10:47:58.000,"202213000091",CM1613000002,"010.202202001114-FS",2022-09-25 23:00:00.000,2022-10-10 23:00:00.000,2022-10-12 10:47:58.039 +0700,2022-10-12 10:47:58.039 +0700,N,,
